"2022-09-16_21:00:03-GraphSAGE_32_1","GraphSAG","1","_3","4","2.270203113555908","0.0","2.4972847870149346","1401","3465","0"
"2022-09-16_21:09:07-GraphSAGE_16_2","GraphSAG","2","_1","4","11.439633846282959","0.0","2.1658410628243567","1849","4681","0"
"2022-09-16_21:12:46-GraphSAGE_32_2","GraphSAG","2","_3","4","837.723886013031","0.0","4.0195712724865365","2297","5897","0"
"2022-09-16_21:16:04-GraphSAGE_64_2","GraphSAG","2","_6","4","14492.953423976898","0.0","3.5923962311578292","3193","8329","0"
"2022-09-16_21:18:55-GraphSAGE_16_3","GraphSAG","3","_1","4","40300.97831916809","0.0","2.1420330405665893","2297","5897","0"
"2022-09-16_21:26:00-GraphSAGE_32_3","GraphSAG","3","_3","4","3891.24067902565","7.297763336528653","3.8742588464697523","3193","8329","0"
"2022-09-16_21:18:55-GraphSAGE_16_3","GraphSAG","3","_1","4","10800.011312961578","3.257461432774618","2.142007114367526","2297","5897","0"
"2022-09-16_21:26:00-GraphSAGE_32_3","GraphSAG","3","_3","4","10800.0099568367","5.837609969864749","3.8742588464697523","3193","8329","0"
"2022-09-16_21:29:19-GraphSAGE_64_3","GraphSAG","3","_6","4","10800.080987930298","12.970507318065605","4.200256906064781","4985","13193","0"
"2022-09-16_21:00:03-GraphSAGE_32_1","GraphSAG","1","_3","6","820.9657077789307","0.0","4.3777391337953215","2625","7377","0"
"2022-09-16_21:09:07-GraphSAGE_16_2","GraphSAG","2","_1","6","5067.941724061966","0.0","4.109456094285546","3489","9969","0"
"2022-09-16_21:12:46-GraphSAGE_32_2","GraphSAG","2","_3","6","10800.030228853226","2.806949821129246","6.1707001775811525","4353","12561","0"
"2022-09-16_21:16:04-GraphSAGE_64_2","GraphSAG","2","_6","6","10800.145891904831","7.650007314522237","5.578175738325854","6081","17745","0"
"2022-09-16_21:18:55-GraphSAGE_16_3","GraphSAG","3","_1","6","10800.055619955063","6.123075319242101","7.026660472690722","4353","12561","0"
"2022-09-16_21:26:00-GraphSAGE_32_3","GraphSAG","3","_3","6","10800.04940199852","12.198568265500914","6.417561412457667","6081","17745","0"
"2022-09-16_21:29:19-GraphSAGE_64_3","GraphSAG","3","_6","6","10800.087994098663","19.62560695393775","6.455759623993972","9537","28113","0"
"2022-09-16_21:00:03-GraphSAGE_32_1","GraphSAG","1","_3","8","10800.01063299179","0.36227274073306664","6.204700669699621","4225","12769","0"
"2022-09-16_21:09:07-GraphSAGE_16_2","GraphSAG","2","_1","8","10800.01853609085","3.1359807184375597","5.491220970090904","5633","17249","0"
"2022-09-16_21:12:46-GraphSAGE_32_2","GraphSAG","2","_3","8","10800.04058790207","3.864654339068797","8.321827364082916","7041","21729","0"
"2022-09-16_21:16:04-GraphSAGE_64_2","GraphSAG","2","_6","8","10800.036741018295","8.326162952754938","7.563955258600068","9857","30689","0"
"2022-09-16_21:18:55-GraphSAGE_16_3","GraphSAG","3","_1","8","10800.077459096909","7.223589296026984","9.502920271213313","7041","21729","0"
"2022-09-16_21:26:00-GraphSAGE_32_3","GraphSAG","3","_3","8","10800.070266962051","13.552873190458245","8.74273562089536","9857","30689","0"
"2022-09-16_21:29:19-GraphSAGE_64_3","GraphSAG","3","_6","8","10800.082672834396","29.408315224766543","7.289763273145899","15489","48609","0"
"2022-09-16_21:28:10-GraphSAGE_64_3","GraphSAG","3","_6","4","6.370851039886475","165.67650529530658","1.1570848913905492","4985","13193","0"
